id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SLW-0067,Sulselrabar,150 kV,150.0,150,0.069,way/756673525,150000,OSM-overpass
TRM-SLW-0068,Sulselrabar,150 kV,150.0,150,0.08,way/756673526,150000,OSM-overpass
TRM-SLW-0069,Sulselrabar,150 kV,150.0,150,0.078,way/756673527,150000,OSM-overpass
TRM-SLW-0070,Sulselrabar,150 kV,150.0,150,0.031,way/756679754,150000,OSM-overpass
TRM-SLW-0071,Sulselrabar,150 kV,150.0,150,0.044,way/756679756,150000,OSM-overpass
TRM-SLW-0072,Sulselrabar,150 kV,150.0,150,0.032,way/756749055,150000,OSM-overpass
TRM-SLW-0073,Sulselrabar,150 kV,150.0,150,0.045,way/756749056,150000,OSM-overpass
TRM-SLW-0074,Sulselrabar,150 kV,150.0,150,0.032,way/756756915,150000,OSM-overpass
TRM-SLW-0075,Sulselrabar,150 kV,150.0,150,0.036,way/756756916,150000,OSM-overpass
TRM-SLW-0076,Sulselrabar,150 kV,150.0,150,0.062,way/756756917,150000,OSM-overpass
TRM-SLW-0077,Sulselrabar,150 kV,150.0,150,1.693,way/756756920,150000,OSM-overpass
TRM-SLW-0078,Sulselrabar,150 kV,150.0,150,0.037,way/756756922,150000,OSM-overpass
TRM-SLW-0079,Sulselrabar,150 kV,150.0,150,7.59,way/756756923,150000,OSM-overpass
TRM-SLW-0080,Sulselrabar,150 kV,150.0,150,0.049,way/756757317,150000,OSM-overpass
TRM-SLW-0081,Sulselrabar,150 kV,150.0,150,0.049,way/756757318,150000,OSM-overpass
TRM-SLW-0082,Sulselrabar,150 kV,150.0,150,3.292,way/756757319,150000,OSM-overpass
TRM-SLW-0083,Sulselrabar,150 kV,150.0,150,0.048,way/756844864,150000,OSM-overpass
TRM-SLW-0084,Sulselrabar,150 kV,150.0,150,0.054,way/756844865,150000,OSM-overpass
TRM-SLW-0085,Sulselrabar,150 kV,150.0,150,53.354,way/756844866,150000,OSM-overpass
TRM-SLW-0086,Sulselrabar,150 kV,150.0,150,0.038,way/756848241,150000,OSM-overpass
TRM-SLW-0087,Sulselrabar,150 kV,150.0,150,0.028,way/756876723,150000,OSM-overpass
TRM-SLW-0088,Sulselrabar,150 kV,150.0,150,0.075,way/756934979,150000,OSM-overpass
TRM-SLW-0089,Sulselrabar,150 kV,150.0,150,0.062,way/756934980,150000,OSM-overpass
TRM-SLW-0090,Sulselrabar,150 kV,150.0,150,48.867,way/756934981,150000,OSM-overpass
TRM-SLW-0091,Sulselrabar,150 kV,150.0,150,0.046,way/756934982,150000,OSM-overpass
TRM-SLW-0092,Sulteng,275 kV,275.0,275,0.058,way/756938318,275000,OSM-overpass
TRM-SLW-0093,Sulselrabar,275 kV,275.0,275,0.051,way/756938319,275000,OSM-overpass
TRM-SLW-0094,Sulselrabar,150 kV,150.0,150,0.291,way/756938320,150000,OSM-overpass
TRM-SLW-0095,Sulutgo,150 kV,150.0,150,0.103,way/757066900,150000,OSM-overpass
TRM-SLW-0096,Sulutgo,150 kV,150.0,150,0.052,way/757066902,150000,OSM-overpass
TRM-SLW-0097,Sulutgo,150 kV,150.0,150,13.416,way/757066904,150000,OSM-overpass
