id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-SMT-0049,PLTP Sarulla I,PLTP Sarulla I,PLTP,110.0,Sumatera Utara,Sumatra,existing,PLN,,1.820782,99.0886277,way/721674157,geothermal,,OSM-overpass
GEN-SMT-0050,PLTG Sumbagut 2 Peaker,Sumbagut 2 Peaker Power Plant,PLTG,250.0,Aceh,Sumatra,existing,PT PLN (Persero),combustion,5.2140487,97.0869756,way/721696769,gas,,OSM-overpass
GEN-SMT-0051,PLTS Jakabaring,PLTS Jakabaring,PLTS,1.6,Sumatera Selatan,Sumatra,existing,,photovoltaic,-3.0105344,104.7910651,way/772768598,solar,,OSM-overpass
GEN-SMT-0052,(unnamed),,Unknown,,Bengkulu,Sumatra,existing,,,-3.6223442,102.4526119,way/797095277,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0053,(unnamed),,Unknown,,Bengkulu,Sumatra,existing,,,-3.6148936,102.4617555,way/797095278,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0054,PLTD Pilang,PLTD Pilang,PLTD,5.0,Kepulauan Bangka Belitung,Babel,existing,,,-2.7585933,107.6481523,way/800388453,diesel,,OSM-overpass
GEN-SMT-0055,PLTU Tanjung Enim,PLTU Tanjung Enim,PLTU,,Sumatera Selatan,Sumatra,existing,PT Bukit Energi Servis Terpadu (PT BEST),combustion,-3.7281238,103.8073538,way/814022610,coal,NO_CAPACITY,OSM-overpass
GEN-SMT-0056,(unnamed),,PLTS,,Aceh,Sumatra,existing,,photovoltaic,4.7156949,96.8374803,way/902235362,solar,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-SMT-0057,(unnamed),,PLTS,,Aceh,Sumatra,existing,,photovoltaic,4.7163391,96.8387733,way/902235363,solar,NO_NAME;NO_CAPACITY,OSM-overpass
GEN-SMT-0058,PLTU Indah Kiat Perawang Unit 2,Perawang Mill Power Plant,PLTU,,Riau,Sumatra,existing,,combustion,0.6936879,101.6199939,way/914010995,coal,NO_CAPACITY,OSM-overpass
GEN-SMT-0059,PLTU Indah Kiat Perawang Unit 3,Perawang Mill Power Plant,PLTU,,Riau,Sumatra,existing,,combustion,0.6844962,101.6177586,way/914011000,coal,NO_CAPACITY,OSM-overpass
GEN-SMT-0060,PLTU Sumsel 5,PLTU Sumsel 5,PLTU,300.0,Sumatera Selatan,Sumatra,existing,,combustion,-2.155187,103.7562482,way/917199954,coal,,OSM-overpass
GEN-SMT-0061,PLTU Keban Agung,PLTU Keban Agung,PLTU,270.0,Sumatera Selatan,Sumatra,existing,,combustion,-3.7520802,103.6454265,way/926323064,coal,,OSM-overpass
GEN-SMT-0062,PLTA Singkarak,PLTA Singkarak,PLTA,175.0,Sumatera Barat,Sumatra,existing,,,-0.6221396,100.349172,way/930242884,hydro,,OSM-overpass
GEN-SMT-0063,PLTA Maninjau,PLTA Maninjau,PLTA,68.0,Sumatera Barat,Sumatra,existing,,,-0.3107109,100.1166728,way/930242896,hydro,,OSM-overpass
GEN-SMT-0064,PLTU Bengkulu,PLTU Bengkulu,PLTU,200.0,Bengkulu,Sumatra,existing,,combustion,-3.9126533,102.2720473,way/930719085,coal,,OSM-overpass
GEN-SMT-0065,PLTG Glugur,PLTG Glugur,PLTG,44.0,Sumatera Utara,Sumatra,existing,,combustion,3.6159362,98.6686635,way/930833477,gas,,OSM-overpass
GEN-SMT-0066,PLTG Paya Pasir,PLTG Paya Pasir,PLTG,75.0,Sumatera Utara,Sumatra,existing,,,3.7146521,98.6663822,way/930833481,gas,,OSM-overpass
GEN-SMT-0067,PLTP Lumut Balai,PLTP Lumut Balai,PLTP,110.0,Sumatera Selatan,Sumatra,existing,,,-4.1979192,103.6485919,way/931931104,geothermal,,OSM-overpass
GEN-SMT-0068,PLTA Semangka,PLTA Semangka,PLTA,56.0,Lampung,Sumatra,existing,,,-5.3901596,104.3848747,way/931931106,hydro,,OSM-overpass
GEN-SMT-0069,PLTA Besai,PLTA Besai,PLTA,90.0,Lampung,Sumatra,existing,PLN,,-4.944151,104.5096645,way/931931108,hydro,,OSM-overpass
GEN-SMT-0070,PLTD Tegineneng,PLTD Tegineneng,PLTD,28.5,Lampung,Sumatra,existing,,,-5.1839942,105.1739671,way/931931152,diesel,,OSM-overpass
GEN-SMT-0071,PLTA Batang Toru,PLTA Batang Toru,PLTA,510.0,Sumatera Utara,Sumatra,existing,,,1.5117335,99.067744,way/938146449,hydro,,OSM-overpass
GEN-SMT-0072,PLTP Sorik Marapi,PLTP Sorik Marapi,PLTP,240.0,Sumatera Utara,Sumatra,existing,,,0.7150503,99.5707052,way/938146456,geothermal,,OSM-overpass
GEN-SMT-0073,PLTGU Cogeneration North Duri,North Duri Cogeneration Plant,PLTG,300.0,Riau,Sumatra,existing,,combustion,1.3723051,101.2255963,way/939125618,gas,,OSM-overpass
GEN-SMT-0074,PLTMG Balai Pungut,PLTMG Balai Pungut,PLTMG,200.0,Riau,Sumatra,existing,,,1.0732598,101.2811511,way/939125620,coal,,OSM-overpass
