id,name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-JMB-0029,PLTA Mendalan,PLTA,20.7,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,water-storage,-7.8558747,112.3219827,way/262153181,hydro,,OSM-overpass
GEN-JMB-0030,PLTA Siman,PLTA,10.2,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,water-storage,-7.8291099,112.3081502,way/262153183,hydro,,OSM-overpass
GEN-JMB-0031,PLTA Sutami,PLTA,103.0,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,water-storage,-8.1613555,112.4441829,way/262452224,hydro,,OSM-overpass
GEN-JMB-0032,PLTA Wadaslintang,PLTA,18.0,Jawa Tengah,Jamali,existing,Indonesia Power,water-storage,-7.6095298,109.7794284,way/268796622,hydro,,OSM-overpass
GEN-JMB-0033,PLTA Garung,PLTA,26.4,Jawa Tengah,Jamali,existing,Indonesia Power,,-7.2922895,109.9216996,way/268796623,hydro,,OSM-overpass
GEN-JMB-0034,PLTU Labuan Banten,PLTU,600.0,Banten,Jamali,existing,Indonesia Power,combustion,-6.393699,105.8296988,way/269098785,coal,,OSM-overpass
GEN-JMB-0035,PLTU Indramayu,PLTU,990.0,Jawa Barat,Jamali,existing,PT Pembangkitan Jawa Bali,combustion,-6.2755073,107.9719225,way/269492237,coal,,OSM-overpass
GEN-JMB-0036,PLTGU Muara Tawar,PLTGU,2593.0,DKI Jakarta,Jamali,existing,PT Pembangkitan Jawa Bali,combustion,-6.086259,106.9985262,way/269508907,gas,,OSM-overpass
GEN-JMB-0037,PLTU Pacitan,PLTU,630.0,Jawa Timur,Jamali,existing,PT Pembangkitan Jawa Bali,combustion,-8.260091,111.3741397,way/270788980,coal,,OSM-overpass
GEN-JMB-0038,Star Energy Geothermal Darajat,PLTP,225.17,Jawa Barat,Jamali,existing,Star Energy Geothermal,,-7.2177854,107.7275125,way/271376029,geothermal,,OSM-overpass
GEN-JMB-0039,PLTA Panglima Besar Soedirman,PLTA,180.9,Jawa Tengah,Jamali,existing,,water-storage,-7.3952258,109.6054097,way/271991719,hydro,,OSM-overpass
GEN-JMB-0040,PLTA Ubrug,PLTA,18.36,Jawa Barat,Jamali,existing,Indonesia Power,,-6.9499858,106.7551839,way/280246818,hydro,,OSM-overpass
