id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
RUPTL:RUPTL-KALIMANTAN-P-0036,,RUPTL-KALIMANTAN-P-0036,Tanah Laut,PLTB,70.0,Kalimantan Selatan,,Planned,,,,-3.235936,115.145818,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,70.0,,PLTB,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0037,,RUPTL-KALIMANTAN-P-0037,Kalselteng*),PLTGU,100.0,Kalimantan Selatan,,Planned,,,,-2.944322,115.265998,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0038,,RUPTL-KALIMANTAN-P-0038,Kalseltengtimra (Kuota) Tersebar,PLTM,2.7,Kalimantan Selatan,,Planned,,,,-2.953147,115.269022,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,2.7,,PLTM,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0039,,RUPTL-KALIMANTAN-P-0039,Kalimantan-1,PLTGU,150.0,Kalimantan Selatan,,Planned,,,,-3.052336,115.423631,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,150.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0040,,RUPTL-KALIMANTAN-P-0040,Add-On Kalselteng*),PLTGU,50.0,Kalimantan Selatan,,Planned,,,,-2.871224,115.272287,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,50.0,,PLTGU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0041,,RUPTL-KALIMANTAN-P-0041,Kotabaru,PLTU,14.0,Kalimantan Selatan,,Construction,,,,-2.978956,115.476947,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,14.0,,PLTU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0042,,RUPTL-KALIMANTAN-P-0042,Lisdes Kalsel,PLTS,4.9,Kalimantan Selatan,,Planned,,,,-3.134575,115.29998,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,4.9,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0045,,RUPTL-KALIMANTAN-P-0045,Kalseltengtimra- 5 (PLTS+BESS),PLTS,160.0,Kalimantan Tengah,,Planned,,,,-1.57486,113.319588,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,160.0,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0046,,RUPTL-KALIMANTAN-P-0046,Kalseltengtimra- 5 (PLTS+BESS),PLTS,100.0,Kalimantan Tengah,,Planned,,,,-1.526603,113.386699,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTS,,,,,,,,,,
GEN-KLM-0032,GEN-KLM-0032,RUPTL-KALIMANTAN-P-0047,PLTU Kalselteng-1 Pulang Pisau,PLTU,200.0,Kalimantan Tengah,Kalselteng,existing,Utility,,,-1.3733024,113.5674728,CONFIRMED_MATCH,1.00,"coord 0.0 km ≤ 2.0, type=PLTU matches, capacity diff 0% ≤ 20%",ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,200.0,200.0,PLTU,PLTU,Utility,,false,false,,false,way/955122312,,OSM-overpass,NO_CAPACITY;NO_TYPE
